,Data Type,transformation,Classifiers,Class 0 Accuracy,Class 1 Accuracy
0,raw,normal,naive,1.0,0.0
1,raw,normal,MLP,0.5581395348837209,0.8862559241706162
2,raw,normal,logisticRegression,0.6448202959830867,0.8056872037914692
3,raw,normal,decisionTree,0.6363636363636364,0.7819905213270142
4,raw,normal,randomForest,0.5750528541226215,0.8388625592417062
5,raw,normal,xgb,0.6046511627906976,0.8578199052132701
6,pca,normal,naive,1.0,0.0
7,pca,normal,MLP,0.5285412262156448,0.7867298578199052
8,pca,normal,logisticRegression,0.6046511627906976,0.6919431279620853
9,pca,normal,decisionTree,0.6067653276955602,0.7156398104265402
10,pca,normal,randomForest,0.6765327695560254,0.6777251184834123
11,pca,normal,xgb,0.6236786469344608,0.7914691943127962
12,umap,normal,naive,1.0,0.0
13,umap,normal,MLP,0.41014799154334036,0.6919431279620853
14,umap,normal,logisticRegression,0.4630021141649049,0.5876777251184834
15,umap,normal,decisionTree,0.35095137420718814,0.7393364928909952
16,umap,normal,randomForest,0.26004228329809725,0.8530805687203792
17,umap,normal,xgb,0.33403805496828753,0.6587677725118484
18,pca_umap,normal,naive,1.0,0.0
19,pca_umap,normal,MLP,0.7230443974630021,0.5402843601895735
20,pca_umap,normal,logisticRegression,0.6955602536997886,0.6540284360189573
21,pca_umap,normal,decisionTree,0.5539112050739958,0.7109004739336493
22,pca_umap,normal,randomForest,0.5306553911205074,0.7677725118483413
23,pca_umap,normal,xgb,0.4883720930232558,0.7819905213270142
24,raw,oneW,naive,1.0,0.0
25,raw,oneW,MLP,0.6283783783783784,0.7307692307692307
26,raw,oneW,logisticRegression,0.6418918918918919,0.7692307692307693
27,raw,oneW,decisionTree,0.6486486486486487,0.7692307692307693
28,raw,oneW,randomForest,0.6418918918918919,0.8333333333333334
29,raw,oneW,xgb,0.6283783783783784,0.7564102564102564
30,pca,oneW,naive,1.0,0.0
31,pca,oneW,MLP,0.5067567567567568,0.5897435897435898
32,pca,oneW,logisticRegression,0.5135135135135135,0.5
33,pca,oneW,decisionTree,0.32432432432432434,0.7948717948717948
34,pca,oneW,randomForest,0.5135135135135135,0.5641025641025641
35,pca,oneW,xgb,0.5202702702702703,0.5384615384615384
36,umap,oneW,naive,1.0,0.0
37,umap,oneW,MLP,0.36486486486486486,0.47435897435897434
38,umap,oneW,logisticRegression,0.4864864864864865,0.5641025641025641
39,umap,oneW,decisionTree,0.6081081081081081,0.4358974358974359
40,umap,oneW,randomForest,0.668918918918919,0.3717948717948718
41,umap,oneW,xgb,0.668918918918919,0.34615384615384615
42,pca_umap,oneW,naive,1.0,0.0
43,pca_umap,oneW,MLP,0.32432432432432434,0.5512820512820513
44,pca_umap,oneW,logisticRegression,0.11486486486486487,0.8589743589743589
45,pca_umap,oneW,decisionTree,0.35135135135135137,0.6538461538461539
46,pca_umap,oneW,randomForest,0.30405405405405406,0.6153846153846154
47,pca_umap,oneW,xgb,0.5337837837837838,0.5256410256410257
